Distancias en kilómetros,Cdad. de Bs. As.,Córdoba,Corrientes,Formosa,La Plata,La Rioja,Mendoza,Neuquén,Paraná,Posadas,Rawson,Resisten- cia,Río Gallegos,S.F.d.V.d. Catamarca,S.M. de Tucumán,S.S. de Jujuy,Salta,San Juan,San Luis,Santa Fe,Santa Rosa,Sgo. Del Estero,Ushuaia,Viedma
Cdad. de Bs. As.,,646.0,792.0,933.0,53.0,986.0,985.0,989.0,375.0,834.0,1127.0,794.0,2082.0,979.0,1080.0,1334.0,1282.0,1005.0,749.0,393.0,579.0,939.0,2373.0,799.0
Córdoba,646.0,,677.0,824.0,698.0,340.0,466.0,907.0,348.0,919.0,1321.0,669.0,2281.0,362.0,517.0,809.0,745.0,412.0,293.0,330.0,577.0,401.0,2618.0,1047.0
Corrientes,792.0,677.0,,157.0,830.0,814.0,1131.0,1534.0,500.0,291.0,1845.0,13.0,2819.0,691.0,633.0,742.0,719.0,1039.0,969.0,498.0,1136.0,535.0,3131.0,1527.0
Formosa,933.0,824.0,157.0,,968.0,927.0,1269.0,1690.0,656.0,263.0,1999.0,161.0,2974.0,793.0,703.0,750.0,741.0,1169.0,1117.0,654.0,1293.0,629.0,3284.0,1681.0
La Plata,53.0,698.0,830.0,968.0,,1038.0,1029.0,1005.0,427.0,857.0,1116.0,833.0,2064.0,1030.0,1132.0,1385.0,1333.0,1053.0,795.0,444.0,602.0,991.0,2350.0,789.0
La Rioja,986.0,340.0,814.0,927.0,1038.0,,427.0,1063.0,659.0,1098.0,1548.0,802.0,2473.0,149.0,330.0,600.0,533.0,283.0,435.0,640.0,834.0,311.0,2821.0,1311.0
Mendoza,985.0,466.0,1131.0,1269.0,1029.0,427.0,,676.0,790.0,1384.0,1201.0,1121.0,2081.0,569.0,756.0,1023.0,957.0,152.0,235.0,775.0,586.0,713.0,2435.0,1019.0
Neuquén,989.0,907.0,1534.0,1690.0,1005.0,1063.0,676.0,,1053.0,1709.0,543.0,1529.0,1410.0,1182.0,1370.0,1658.0,1591.0,824.0,643.0,1049.0,422.0,1286.0,1762.0,479.0
Paraná,375.0,348.0,500.0,656.0,427.0,659.0,790.0,1053.0,,658.0,1345.0,498.0,2320.0,622.0,707.0,959.0,906.0,757.0,574.0,19.0,642.0,566.0,2635.0,1030.0
Posadas,834.0,919.0,291.0,263.0,857.0,1098.0,1384.0,1709.0,658.0,,1951.0,305.0,2914.0,980.0,924.0,1007.0,992.0,1306.0,1200.0,664.0,1293.0,827.0,3207.0,1624.0
Rawson,1127.0,1321.0,1845.0,1999.0,1116.0,1548.0,1201.0,543.0,1345.0,1951.0,,1843.0,975.0,1647.0,1827.0,2120.0,2054.0,1340.0,1113.0,1349.0,745.0,1721.0,1300.0,327.0
Resistencia,794.0,669.0,13.0,161.0,833.0,802.0,1121.0,1529.0,498.0,305.0,1843.0,,2818.0,678.0,620.0,729.0,706.0,1029.0,961.0,495.0,1132.0,523.0,3130.0,1526.0
Río Galleqos,2082.0,2281.0,2819.0,2974.0,2064.0,2473.0,2081.0,1410.0,2320.0,2914.0,975.0,2818.0,,2587.0,2773.0,3063.0,2997.0,2231.0,2046.0,2325.0,1712.0,2677.0,359.0,1294.0
S.F.d.V.d. Catamarca,979.0,362.0,691.0,793.0,1030.0,149.0,569.0,1182.0,622.0,980.0,1647.0,678.0,2587.0,,189.0,477.0,410.0,430.0,540.0,602.0,915.0,166.0,2931.0,1391.0
S.M. de Tucumán,1080.0,517.0,633.0,703.0,1132.0,330.0,756.0,1370.0,707.0,924.0,1827.0,620.0,2773.0,189.0,,293.0,228.0,612.0,727.0,689.0,1088.0,141.0,3116.0,1562.0
S.S. de Jujuy,1334.0,809.0,742.0,750.0,1385.0,600.0,1023.0,1658.0,959.0,1007.0,2120.0,729.0,3063.0,477.0,293.0,,67.0,874.0,1017.0,942.0,1382.0,414.0,3408.0,1855.0
Salta,1282.0,745.0,719.0,741.0,1333.0,533.0,957.0,1591.0,906.0,992.0,2054.0,706.0,2997.0,410.0,228.0,67.0,,808.0,950.0,889.0,1316.0,353.0,3341.0,1790.0
San Juan,1005.0,412.0,1039.0,1169.0,1053.0,283.0,152.0,824.0,757.0,1306.0,1340.0,1029.0,2231.0,430.0,612.0,874.0,808.0,,284.0,740.0,686.0,583.0,2585.0,1141.0
San Luis,749.0,293.0,969.0,1117.0,795.0,435.0,235.0,643.0,574.0,1200.0,1113.0,961.0,2046.0,540.0,727.0,1017.0,950.0,284.0,,560.0,412.0,643.0,2392.0,882.0
Santa Fe,393.0,330.0,498.0,654.0,444.0,640.0,775.0,1049.0,19.0,664.0,1349.0,495.0,2325.0,602.0,689.0,942.0,889.0,740.0,560.0,,641.0,547.0,2641.0,1035.0
Santa Rosa,579.0,577.0,1136.0,1293.0,602.0,834.0,586.0,422.0,642.0,1293.0,745.0,1132.0,1712.0,915.0,1088.0,1382.0,1316.0,686.0,412.0,641.0,,977.0,2044.0,477.0
Sgo. Del Estero,939.0,401.0,535.0,629.0,991.0,311.0,713.0,1286.0,566.0,827.0,1721.0,523.0,2677.0,166.0,141.0,414.0,353.0,583.0,643.0,547.0,977.0,,3016.0,1446.0
Ushuaia,2373.0,2618.0,3131.0,3284.0,2350.0,2821.0,2435.0,1762.0,2635.0,3207.0,1300.0,3130.0,359.0,2931.0,3116.0,3408.0,3341.0,2585.0,2392.0,2641.0,2044.0,3016.0,,1605.0
Viedma,799.0,1047.0,1527.0,1681.0,789.0,1311.0,1019.0,479.0,1030.0,1624.0,327.0,1526.0,1294.0,1391.0,1562.0,1855.0,1790.0,1141.0,882.0,1035.0,477.0,1446.0,1605.0,

